-1.213199999999999932e+02,3.867000000000000171e+01,3.100000000000000000e+01,2.532000000000000000e+03,4.790000000000000000e+02,1.396000000000000000e+03,4.670000000000000000e+02,4.041699999999999626e+00
-1.169699999999999989e+02,3.278999999999999915e+01,3.200000000000000000e+01,1.255000000000000000e+03,3.380000000000000000e+02,7.820000000000000000e+02,3.020000000000000000e+02,2.663499999999999979e+00
-1.224599999999999937e+02,3.828999999999999915e+01,2.100000000000000000e+01,2.423000000000000000e+03,5.600000000000000000e+02,1.098000000000000000e+03,5.030000000000000000e+02,2.363999999999999879e+00
-1.183799999999999955e+02,3.403000000000000114e+01,3.600000000000000000e+01,2.101000000000000000e+03,5.690000000000000000e+02,1.756000000000000000e+03,5.270000000000000000e+02,2.934400000000000119e+00
-1.214899999999999949e+02,3.952000000000000313e+01,2.500000000000000000e+01,8.480000000000000000e+02,1.530000000000000000e+02,4.360000000000000000e+02,1.550000000000000000e+02,3.902800000000000047e+00
-1.171800000000000068e+02,3.282999999999999829e+01,3.100000000000000000e+01,1.772000000000000000e+03,3.530000000000000000e+02,1.090000000000000000e+03,3.500000000000000000e+02,3.926499999999999879e+00
-1.184500000000000028e+02,3.403000000000000114e+01,4.100000000000000000e+01,2.083000000000000000e+03,5.280000000000000000e+02,9.930000000000000000e+02,4.810000000000000000e+02,4.023100000000000342e+00
-1.155699999999999932e+02,3.278000000000000114e+01,2.000000000000000000e+01,1.534000000000000000e+03,2.350000000000000000e+02,8.710000000000000000e+02,2.220000000000000000e+02,6.271499999999999631e+00
-1.183599999999999994e+02,3.381000000000000227e+01,2.500000000000000000e+01,9.042000000000000000e+03,2.022000000000000000e+03,4.458000000000000000e+03,1.944000000000000000e+03,4.559199999999999697e+00
-1.170999999999999943e+02,3.267999999999999972e+01,4.700000000000000000e+01,7.710000000000000000e+02,2.240000000000000000e+02,6.370000000000000000e+02,2.120000000000000000e+02,2.015600000000000058e+00
